"id","city_name","latitude","longitude","timestamp","curr_temperature"
118,Lucin,41.346238,-113.905283,"2025-01-09 03:37:16",25.6
119,Brian Head,37.692681,-112.850196,"2025-01-09 03:37:17",8.2
120,Salt Lake City,40.400000,-111.850500,"2025-01-09 03:42:18",28.2
121,Kamas,40.640216,-111.280745,"2025-01-09 03:42:19",14.3
122,Mirror Lake,40.701123,-110.887579,"2025-01-09 03:42:20",1.3
123,Lucin,41.346238,-113.905283,"2025-01-09 03:42:21",25.6
124,Brian Head,37.692681,-112.850196,"2025-01-09 03:42:22",8.4
125,Salt Lake City,40.400000,-111.850500,"2025-01-09 03:47:23",28.2
126,Kamas,40.640216,-111.280745,"2025-01-09 03:47:24",14.5
127,Mirror Lake,40.701123,-110.887579,"2025-01-09 03:47:25",0.7
128,Lucin,41.346238,-113.905283,"2025-01-09 03:47:26",25.5
129,Brian Head,37.692681,-112.850196,"2025-01-09 03:47:26",8.1
130,Salt Lake City,40.400000,-111.850500,"2025-01-09 03:52:28",28.2
131,Kamas,40.640216,-111.280745,"2025-01-09 03:52:29",14.5
132,Mirror Lake,40.701123,-110.887579,"2025-01-09 03:52:29",0.7
133,Lucin,41.346238,-113.905283,"2025-01-09 03:52:30",25.5
134,Brian Head,37.692681,-112.850196,"2025-01-09 03:52:31",8.1
135,Salt Lake City,40.400000,-111.850500,"2025-01-09 03:57:32",28.2
136,Kamas,40.640216,-111.280745,"2025-01-09 03:57:33",14.5
137,Mirror Lake,40.701123,-110.887579,"2025-01-09 03:57:34",0.7
138,Lucin,41.346238,-113.905283,"2025-01-09 03:57:35",25.5
139,Brian Head,37.692681,-112.850196,"2025-01-09 03:57:35",8.1
140,Salt Lake City,40.400000,-111.850500,"2025-01-09 04:02:36",28.2
141,Kamas,40.640216,-111.280745,"2025-01-09 04:02:37",14.8
142,Mirror Lake,40.701123,-110.887579,"2025-01-09 04:02:38",0.5
143,Lucin,41.346238,-113.905283,"2025-01-09 04:02:39",25.3
144,Brian Head,37.692681,-112.850196,"2025-01-09 04:02:40",7.8
145,Salt Lake City,40.400000,-111.850500,"2025-01-09 04:07:41",28.2
146,Kamas,40.640216,-111.280745,"2025-01-09 04:07:42",14.8
147,Mirror Lake,40.701123,-110.887579,"2025-01-09 04:07:43",0.5
148,Lucin,41.346238,-113.905283,"2025-01-09 04:07:43",25.3
149,Brian Head,37.692681,-112.850196,"2025-01-09 04:07:44",7.8
150,Salt Lake City,40.400000,-111.850500,"2025-01-09 04:12:45",28.2
151,Kamas,40.640216,-111.280745,"2025-01-09 04:12:46",14.8
152,Mirror Lake,40.701123,-110.887579,"2025-01-09 04:12:47",0.5
153,Lucin,41.346238,-113.905283,"2025-01-09 04:12:48",25.3
154,Brian Head,37.692681,-112.850196,"2025-01-09 04:12:49",7.8
155,Salt Lake City,40.400000,-111.850500,"2025-01-09 04:17:50",28.1
156,Kamas,40.640216,-111.280745,"2025-01-09 04:17:51",14.8
157,Mirror Lake,40.701123,-110.887579,"2025-01-09 04:17:52",0.7
158,Lucin,41.346238,-113.905283,"2025-01-09 04:17:53",25.4
159,Brian Head,37.692681,-112.850196,"2025-01-09 04:17:53",7.7
160,Salt Lake City,40.400000,-111.850500,"2025-01-09 04:22:55",28.1
161,Kamas,40.640216,-111.280745,"2025-01-09 04:22:56",14.8
162,Mirror Lake,40.701123,-110.887579,"2025-01-09 04:22:57",0.7
163,Lucin,41.346238,-113.905283,"2025-01-09 04:22:58",25.4
164,Brian Head,37.692681,-112.850196,"2025-01-09 04:22:58",7.7
165,Salt Lake City,40.400000,-111.850500,"2025-01-09 04:27:59",28.1
166,Kamas,40.640216,-111.280745,"2025-01-09 04:28:00",14.8
167,Mirror Lake,40.701123,-110.887579,"2025-01-09 04:28:01",0.7
168,Lucin,41.346238,-113.905283,"2025-01-09 04:28:02",25.4
169,Brian Head,37.692681,-112.850196,"2025-01-09 04:28:03",7.7
170,Salt Lake City,40.400000,-111.850500,"2025-01-09 04:33:04",28.3
171,Kamas,40.640216,-111.280745,"2025-01-09 04:33:04",14.9
172,Mirror Lake,40.701123,-110.887579,"2025-01-09 04:33:05",1.6
173,Lucin,41.346238,-113.905283,"2025-01-09 04:33:06",25.5
174,Brian Head,37.692681,-112.850196,"2025-01-09 04:33:07",7.5
175,Salt Lake City,40.400000,-111.850500,"2025-01-09 04:38:08",28.3
176,Kamas,40.640216,-111.280745,"2025-01-09 04:38:08",14.9
177,Mirror Lake,40.701123,-110.887579,"2025-01-09 04:38:09",1.6
178,Lucin,41.346238,-113.905283,"2025-01-09 04:38:10",25.5
179,Brian Head,37.692681,-112.850196,"2025-01-09 04:38:11",7.5
180,Salt Lake City,40.400000,-111.850500,"2025-01-09 04:43:12",28.3
181,Kamas,40.640216,-111.280745,"2025-01-09 04:43:13",14.9
182,Mirror Lake,40.701123,-110.887579,"2025-01-09 04:43:13",1.6
183,Lucin,41.346238,-113.905283,"2025-01-09 04:43:14",25.5
184,Brian Head,37.692681,-112.850196,"2025-01-09 04:43:15",7.5
185,Salt Lake City,40.400000,-111.850500,"2025-01-09 04:48:17",28.1
186,Kamas,40.640216,-111.280745,"2025-01-09 04:48:18",14.5
187,Mirror Lake,40.701123,-110.887579,"2025-01-09 04:48:18",1.1
188,Lucin,41.346238,-113.905283,"2025-01-09 04:48:19",25.6
189,Brian Head,37.692681,-112.850196,"2025-01-09 04:48:20",7.4
190,Salt Lake City,40.400000,-111.850500,"2025-01-09 04:53:22",28.1
191,Kamas,40.640216,-111.280745,"2025-01-09 04:53:22",14.5
192,Mirror Lake,40.701123,-110.887579,"2025-01-09 04:53:23",1.1
193,Lucin,41.346238,-113.905283,"2025-01-09 04:53:24",25.6
194,Brian Head,37.692681,-112.850196,"2025-01-09 04:53:25",7.4
195,Salt Lake City,40.400000,-111.850500,"2025-01-09 04:58:26",28.3
196,Kamas,40.640216,-111.280745,"2025-01-09 04:58:26",14.0
197,Mirror Lake,40.701123,-110.887579,"2025-01-09 04:58:27",0.5
198,Lucin,41.346238,-113.905283,"2025-01-09 04:58:28",25.1
199,Brian Head,37.692681,-112.850196,"2025-01-09 04:58:29",8.1
200,Salt Lake City,40.400000,-111.850500,"2025-01-09 05:03:30",28.1
201,Kamas,40.640216,-111.280745,"2025-01-09 05:03:31",14.0
202,Mirror Lake,40.701123,-110.887579,"2025-01-09 05:03:31",1.0
203,Lucin,41.346238,-113.905283,"2025-01-09 05:03:32",25.3
204,Brian Head,37.692681,-112.850196,"2025-01-09 05:03:33",8.1
205,Salt Lake City,40.400000,-111.850500,"2025-01-09 05:08:34",28.1
206,Kamas,40.640216,-111.280745,"2025-01-09 05:08:35",14.0
207,Mirror Lake,40.701123,-110.887579,"2025-01-09 05:08:35",1.0
208,Lucin,41.346238,-113.905283,"2025-01-09 05:08:36",25.3
209,Brian Head,37.692681,-112.850196,"2025-01-09 05:08:37",8.1
210,Salt Lake City,40.400000,-111.850500,"2025-01-09 05:13:38",28.1
211,Kamas,40.640216,-111.280745,"2025-01-09 05:13:39",14.0
212,Mirror Lake,40.701123,-110.887579,"2025-01-09 05:13:39",1.0
213,Lucin,41.346238,-113.905283,"2025-01-09 05:13:40",25.3
214,Brian Head,37.692681,-112.850196,"2025-01-09 05:13:41",8.1
215,Salt Lake City,40.400000,-111.850500,"2025-01-09 05:18:42",27.9
216,Kamas,40.640216,-111.280745,"2025-01-09 05:18:43",14.0
217,Mirror Lake,40.701123,-110.887579,"2025-01-09 05:18:44",0.7
218,Lucin,41.346238,-113.905283,"2025-01-09 05:18:44",25.5
219,Brian Head,37.692681,-112.850196,"2025-01-09 05:18:45",8.2
220,Salt Lake City,40.400000,-111.850500,"2025-01-09 05:23:47",27.9
